"rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update"
2,"2005-05-25 03:24:33+05:30",1525,459,"2005-05-29 00:10:33+05:30",1,"2020-02-16 08:00:53+05:30"
3,"2005-05-25 03:33:39+05:30",1711,408,"2005-06-02 02:42:39+05:30",1,"2020-02-16 08:00:53+05:30"
4,"2005-05-25 03:34:41+05:30",2452,333,"2005-06-03 06:13:41+05:30",2,"2020-02-16 08:00:53+05:30"
5,"2005-05-25 03:35:21+05:30",2079,222,"2005-06-02 09:03:21+05:30",1,"2020-02-16 08:00:53+05:30"
6,"2005-05-25 03:38:07+05:30",2792,549,"2005-05-27 06:02:07+05:30",1,"2020-02-16 08:00:53+05:30"
7,"2005-05-25 03:41:53+05:30",3995,269,"2005-05-30 01:04:53+05:30",2,"2020-02-16 08:00:53+05:30"
8,"2005-05-25 04:01:46+05:30",2346,239,"2005-05-28 04:03:46+05:30",2,"2020-02-16 08:00:53+05:30"
9,"2005-05-25 04:30:40+05:30",2580,126,"2005-05-28 04:52:40+05:30",1,"2020-02-16 08:00:53+05:30"
10,"2005-05-25 04:32:21+05:30",1824,399,"2005-06-01 03:14:21+05:30",2,"2020-02-16 08:00:53+05:30"
11,"2005-05-25 04:39:02+05:30",4443,142,"2005-06-03 01:26:02+05:30",2,"2020-02-16 08:00:53+05:30"
12,"2005-05-25 04:49:27+05:30",1584,261,"2005-05-30 10:14:27+05:30",2,"2020-02-16 08:00:53+05:30"
13,"2005-05-25 04:52:55+05:30",2294,334,"2005-05-30 08:58:55+05:30",1,"2020-02-16 08:00:53+05:30"
14,"2005-05-25 05:01:15+05:30",2701,446,"2005-05-26 07:26:15+05:30",1,"2020-02-16 08:00:53+05:30"
15,"2005-05-25 05:09:22+05:30",3049,319,"2005-06-03 08:00:22+05:30",1,"2020-02-16 08:00:53+05:30"
16,"2005-05-25 05:13:11+05:30",389,316,"2005-05-26 09:12:11+05:30",2,"2020-02-16 08:00:53+05:30"
17,"2005-05-25 05:36:36+05:30",830,575,"2005-05-27 05:13:36+05:30",1,"2020-02-16 08:00:53+05:30"
18,"2005-05-25 05:40:47+05:30",3376,19,"2005-05-31 11:05:47+05:30",2,"2020-02-16 08:00:53+05:30"
19,"2005-05-25 05:47:24+05:30",1941,456,"2005-05-31 10:30:24+05:30",1,"2020-02-16 08:00:53+05:30"
20,"2005-05-25 06:18:41+05:30",3517,185,"2005-05-27 06:50:41+05:30",2,"2020-02-16 08:00:53+05:30"
21,"2005-05-25 06:29:46+05:30",146,388,"2005-05-26 05:31:46+05:30",2,"2020-02-16 08:00:53+05:30"
22,"2005-05-25 06:49:23+05:30",727,509,"2005-05-26 09:22:23+05:30",2,"2020-02-16 08:00:53+05:30"
23,"2005-05-25 07:10:21+05:30",4441,438,"2005-05-29 11:04:21+05:30",1,"2020-02-16 08:00:53+05:30"
24,"2005-05-25 07:23:02+05:30",3273,350,"2005-05-27 05:45:02+05:30",1,"2020-02-16 08:00:53+05:30"
25,"2005-05-25 07:51:20+05:30",3961,37,"2005-05-28 01:55:20+05:30",2,"2020-02-16 08:00:53+05:30"
26,"2005-05-25 08:06:50+05:30",4371,371,"2005-05-31 05:04:50+05:30",1,"2020-02-16 08:00:53+05:30"
27,"2005-05-25 08:11:50+05:30",1225,301,"2005-05-30 05:43:50+05:30",2,"2020-02-16 08:00:53+05:30"
28,"2005-05-25 08:12:37+05:30",4068,232,"2005-05-26 13:56:37+05:30",2,"2020-02-16 08:00:53+05:30"
29,"2005-05-25 08:17:12+05:30",611,44,"2005-05-30 05:01:12+05:30",2,"2020-02-16 08:00:53+05:30"
30,"2005-05-25 08:31:32+05:30",3744,430,"2005-05-30 07:42:32+05:30",1,"2020-02-16 08:00:53+05:30"
31,"2005-05-25 08:35:17+05:30",4482,369,"2005-05-30 11:45:17+05:30",1,"2020-02-16 08:00:53+05:30"
32,"2005-05-25 08:36:21+05:30",3832,230,"2005-05-26 04:25:21+05:30",1,"2020-02-16 08:00:53+05:30"
33,"2005-05-25 08:48:51+05:30",1681,272,"2005-05-27 08:28:51+05:30",1,"2020-02-16 08:00:53+05:30"
